category,examples,used_for,nutritional_benefit,source,budget_level
vegetables,"spinach, amaranth, drumstick leaves","poriyal, dal","iron, calcium, fibre","kr market","low"
fruits,"papaya, banana, guava","smoothies, snacks","vitamin c, gut health","local vendor","low"
millets,"ragi, foxtail millet, kodo millet","idli, dosa, porridge","low gi, fibre rich","dmart","medium"
pulses,"toor dal, moong dal, chickpeas","sambar, khichdi","plant protein, fibre","dmart bulk","low"
nuts,"peanuts, flax seeds, almonds","chutney, snacks","omega-3, energy","dmart","medium"
spices,"turmeric, cumin, pepper, curry leaves","sambar, rasam, tadka","immunity, digestion","local kirana","low"
dairy,"curd, paneer, low-fat milk","thali, smoothie","calcium, probiotics, protein","milky mist","medium"
grains,"red rice, brown rice, whole wheat atta","main meals","complex carbs, energy","wholesale","low"
herbs,"mint, coriander, tulsi","chutney, garnish","detox, freshness, digestion","home grown","low"
packaged foods,"multigrain bread, rolled oats","breakfast, toast","convenience, fibre","dmart","medium"
